"Name","Length"
"KBBBBBvK.rtbz","264510736"
"KBBBBNvK.rtbz","1426493776"
"KBBBBPvK.rtbz","328228432"
"KBBBBvKB.rtbz","819732432"
"KBBBBvKN.rtbz","842117712"
"KBBBBvKP.rtbz","1017506832"
"KBBBBvKQ.rtbz","1150639568"
"KBBBNNvK.rtbz","3121053008"
"KBBBNPvK.rtbz","750385104"
"KBBBNvKB.rtbz","5500184016"
"KBBBNvKP.rtbz","5384825616"
"KBBBNvKQ.rtbz","5680054608"
"KBBBNvKR.rtbz","10171866832"
"KBBBPPvK.rtbz","106358800"
"KBBBPvKB.rtbz","3434519248"
"KBBBPvKN.rtbz","3091892048"
"KBBBPvKP.rtbz","1150176528"
"KBBBPvKQ.rtbz","10930192464"
"KBBBPvKR.rtbz","6607752592"
"KBBBvKBB.rtbz","66233808"
"KBBBvKBN.rtbz","4010586640"
"KBBBvKBP.rtbz","6201116048"
"KBBBvKNN.rtbz","3443458256"
"KBBBvKNP.rtbz","9411050832"
"KBBBvKPP.rtbz","1302287376"
"KBBBvKQB.rtbz","5208915536"
"KBBBvKQN.rtbz","5484444304"
"KBBBvKQP.rtbz","8156402320"
"KBBBvKQQ.rtbz","445147472"
"KBBBvKQR.rtbz","2200438544"
"KBBBvKRB.rtbz","238071440"
"KBBBvKRN.rtbz","970112400"
"KBBBvKRP.rtbz","19132632720"
"KBBBvKRR.rtbz","520457360"
"KBBNNNvK.rtbz","3160624784"
"KBBNNPvK.rtbz","970789008"
"KBBNNvKB.rtbz","10941478032"
"KBBNNvKP.rtbz","7157173392"
"KBBNNvKQ.rtbz","6552074576"
"KBBNNvKR.rtbz","18348568784"
"KBBNPPvK.rtbz","353673232"
"KBBNPvKB.rtbz","11303991632"
"KBBNPvKN.rtbz","3335955152"
"KBBNPvKP.rtbz","1905480848"
"KBBNPvKQ.rtbz","32704568592"
"KBBNPvKR.rtbz","28058238608"
"KBBNvKBB.rtbz","817735248"
"KBBNvKBN.rtbz","21660861392"
"KBBNvKBP.rtbz","43162199440"
"KBBNvKNN.rtbz","11558665424"
"KBBNvKNP.rtbz","55262195088"
"KBBNvKPP.rtbz","6207001808"
"KBBNvKQB.rtbz","12099774032"
"KBBNvKQN.rtbz","12849465232"
"KBBNvKQP.rtbz","21571958352"
"KBBNvKQQ.rtbz","941432208"
"KBBNvKQR.rtbz","4966750992"
"KBBNvKRB.rtbz","836662352"
"KBBNvKRN.rtbz","1427586384"
"KBBNvKRP.rtbz","37987816848"
"KBBNvKRR.rtbz","3325662736"
"KBBPPPvK.rtbz","41144976"
"KBBPPvKB.rtbz","1462851664"
"KBBPPvKN.rtbz","776621072"
"KBBPPvKP.rtbz","367529488"
"KBBPPvKQ.rtbz","12202999568"
"KBBPPvKR.rtbz","7444202384"
"KBBPvKBB.rtbz","1446606352"
"KBBPvKBN.rtbz","11952870288"
"KBBPvKBP.rtbz","12847387216"
"KBBPvKNN.rtbz","12504407632"
"KBBPvKNP.rtbz","15164731408"
"KBBPvKPP.rtbz","2441519568"
"KBBPvKQB.rtbz","27540254352"
"KBBPvKQN.rtbz","29248393040"
"KBBPvKQP.rtbz","11381460880"
"KBBPvKQQ.rtbz","2269661584"
"KBBPvKQR.rtbz","10512542928"
"KBBPvKRB.rtbz","7308675920"
"KBBPvKRN.rtbz","27537448720"
"KBBPvKRP.rtbz","14414846928"
"KBBPvKRR.rtbz","28732806480"
"KBNNNNvK.rtbz","1400966928"
"KBNNNPvK.rtbz","554360912"
"KBNNNvKB.rtbz","7365002128"
"KBNNNvKN.rtbz","6028721744"
"KBNNNvKP.rtbz","5176108240"
"KBNNNvKQ.rtbz","5225643984"
"KBNNNvKR.rtbz","9968730192"
"KBNNPPvK.rtbz","286666256"
"KBNNPvKB.rtbz","4592862544"
"KBNNPvKN.rtbz","3716028816"
"KBNNPvKP.rtbz","2424323472"
"KBNNPvKQ.rtbz","30333746896"
"KBNNPvKR.rtbz","37826257808"
"KBNNvKBB.rtbz","5137207184"
"KBNNvKBN.rtbz","1837891920"
"KBNNvKBP.rtbz","71381408208"
"KBNNvKNN.rtbz","2141989584"
"KBNNvKNP.rtbz","65277071440"
"KBNNvKPP.rtbz","6940981264"
"KBNNvKQB.rtbz","9209854224"
"KBNNvKQN.rtbz","11524046736"
"KBNNvKQP.rtbz","18427999504"
"KBNNvKQQ.rtbz","848048400"
"KBNNvKQR.rtbz","4325209232"
"KBNNvKRB.rtbz","2597258384"
"KBNNvKRN.rtbz","573704848"
"KBNNvKRP.rtbz","4078552784"
"KBNNvKRR.rtbz","5466873232"
"KBNPPPvK.rtbz","76156240"
"KBNPPvKB.rtbz","1694256784"
"KBNPPvKN.rtbz","980559440"
"KBNPPvKP.rtbz","853865936"
"KBNPPvKQ.rtbz","20680640272"
"KBNPPvKR.rtbz","18645801936"
"KBNPvKBB.rtbz","3703028624"
"KBNPvKBN.rtbz","14994507408"
"KBNPvKBP.rtbz","50523373904"
"KBNPvKNN.rtbz","11025440080"
"KBNPvKNP.rtbz","42970754384"
"KBNPvKPP.rtbz","4352809488"
"KBNPvKQB.rtbz","39889726224"
"KBNPvKQN.rtbz","45656804752"
"KBNPvKQP.rtbz","17422108880"
"KBNPvKQQ.rtbz","3393176080"
"KBNPvKQR.rtbz","16303874512"
"KBNPvKRP.rtbz","32889776976"
"KBNPvKRR.rtbz","50770361296"
"KBPPPPvK.rtbz","12069712"
"KBPPPvKB.rtbz","503454608"
"KBPPPvKN.rtbz","264358928"
"KBPPPvKP.rtbz","139152784"
"KBPPPvKQ.rtbz","4830491664"
"KBPPPvKR.rtbz","2689630224"
"KBPPvKBB.rtbz","853889104"
"KBPPvKBN.rtbz","2479519760"
"KBPPvKBP.rtbz","5561195536"
"KBPPvKNN.rtbz","1999931792"
"KBPPvKNP.rtbz","6471055824"
