name;kind;pieces;expected_folder;expected_md5;source_file
KBBBvK.rtbw;WDL;5;3-4-5;fe211316630db82fd1a355740639b715;wdl345.txt
KBBNvK.rtbw;WDL;5;3-4-5;59bed619025bc69a54d93832f4312e42;wdl345.txt
KBBPvK.rtbw;WDL;5;3-4-5;eeb2a21bb6c52efbc41b8f29590d5f31;wdl345.txt
KBBvKB.rtbw;WDL;5;3-4-5;1d948fff757950a1214668360d56ee74;wdl345.txt
KBBvKN.rtbw;WDL;5;3-4-5;16cb3dc1a1cb5ce0b9d7bb8978ea8c16;wdl345.txt
KBBvKP.rtbw;WDL;5;3-4-5;5e92cd639d1b9fd3fb683d098c87b20e;wdl345.txt
KBBvKQ.rtbw;WDL;5;3-4-5;2c2df4bdcbd04ac0d335b47ed5a401f1;wdl345.txt
KBBvKR.rtbw;WDL;5;3-4-5;7d1d28df6cab9dc72d05653f170867c7;wdl345.txt
KBBvK.rtbw;WDL;4;3-4-5;457a28e5df290b59ef4448bafad18bd3;wdl345.txt
KBNNvK.rtbw;WDL;5;3-4-5;3f7a7ec41d472caaab3def5716bac004;wdl345.txt
KBNPvK.rtbw;WDL;5;3-4-5;3a755fd9141e3813a20491aec20daedc;wdl345.txt
KBNvKB.rtbw;WDL;5;3-4-5;cd1d6adb575089e853b306d110de5173;wdl345.txt
KBNvKN.rtbw;WDL;5;3-4-5;d5020ca24fe16a568b5cf70d69565366;wdl345.txt
KBNvKP.rtbw;WDL;5;3-4-5;f67e12f3d62a5ac094e635d562a9a84d;wdl345.txt
KBNvKQ.rtbw;WDL;5;3-4-5;2ec5a10d3bd99d8d11920b1331df254e;wdl345.txt
KBNvKR.rtbw;WDL;5;3-4-5;e0129148383c5f95e631b7758a22162c;wdl345.txt
KBNvK.rtbw;WDL;4;3-4-5;046312caaebd34f798e1a112c1a79208;wdl345.txt
KBPPvK.rtbw;WDL;5;3-4-5;f1a46f13fc1bdc0c4f453bcc996ea811;wdl345.txt
KBPvKB.rtbw;WDL;5;3-4-5;9dab7c4c323d18523e2da51cba30aa49;wdl345.txt
KBPvKN.rtbw;WDL;5;3-4-5;28415af3f800b2857b3edd84542a9922;wdl345.txt
KBPvKP.rtbw;WDL;5;3-4-5;9d66971b0a1a598cd65e04268dc622f3;wdl345.txt
KBPvKQ.rtbw;WDL;5;3-4-5;73800c70a614bfe60f57d18bd1d77808;wdl345.txt
KBPvKR.rtbw;WDL;5;3-4-5;460c6ff0d6a18cdb76586d434460193a;wdl345.txt
KBPvK.rtbw;WDL;4;3-4-5;080d6f2484c00d0ae161909f86e49684;wdl345.txt
KBvKB.rtbw;WDL;4;3-4-5;cbcf6c04bc042c6dfb2c2d2ebf1af073;wdl345.txt
KBvKN.rtbw;WDL;4;3-4-5;e83441cecee257c97a12b5ad33be16fd;wdl345.txt
KBvKP.rtbw;WDL;4;3-4-5;47f54e30a61705aab5b2a6cd577c2c1e;wdl345.txt
KBvK.rtbw;WDL;3;3-4-5;4b37ef623e69eadb6756777c16034e6f;wdl345.txt
KNNNvK.rtbw;WDL;5;3-4-5;d79465eca6697da78997320da531fabb;wdl345.txt
KNNPvK.rtbw;WDL;5;3-4-5;252f89f33bacc96d51c6bfc951d1157a;wdl345.txt
KNNvKB.rtbw;WDL;5;3-4-5;0a98fb4f58b773d1fb6ef8a48cecda89;wdl345.txt
KNNvKN.rtbw;WDL;5;3-4-5;feaf420ff86398b6049e972c1ed27bf0;wdl345.txt
KNNvKP.rtbw;WDL;5;3-4-5;b2ad4c6c257cd7f90ac5c2545ec083ec;wdl345.txt
KNNvKQ.rtbw;WDL;5;3-4-5;3d1b6dc34ea6380e9efc18cd13ab752a;wdl345.txt
KNNvKR.rtbw;WDL;5;3-4-5;6231eac2d4ddcfce370d384e8bd7af14;wdl345.txt
KNNvK.rtbw;WDL;4;3-4-5;55ace050bca06a89fb262b1471653da3;wdl345.txt
KNPPvK.rtbw;WDL;5;3-4-5;b5600e730d1c243178d635fb0434d174;wdl345.txt
KNPvKB.rtbw;WDL;5;3-4-5;bac540b324c49fada2be5b6aa5c8f722;wdl345.txt
KNPvKN.rtbw;WDL;5;3-4-5;3f57d5be4bab20026be22ed2f3f57296;wdl345.txt
KNPvKP.rtbw;WDL;5;3-4-5;05d00d8934c19354e449e62180dc83aa;wdl345.txt
KNPvKQ.rtbw;WDL;5;3-4-5;17da8e4f62c446341883c46a3ee3cdfb;wdl345.txt
KNPvKR.rtbw;WDL;5;3-4-5;f2bcbd21959d515559c1bfab9fe6867b;wdl345.txt
KNPvK.rtbw;WDL;4;3-4-5;20690936ac6147bd4d8aa0584b5ae570;wdl345.txt
KNvKN.rtbw;WDL;4;3-4-5;2c4a1fbe4cc50a112a60628c6092f5b7;wdl345.txt
KNvKP.rtbw;WDL;4;3-4-5;083853c1df58dbfa035231fe93f572be;wdl345.txt
