name;expected_folder;actual_folder;status
KBBBvK.rtbw;3-4-5;3-4-5;PRESENT
KBBNvK.rtbw;3-4-5;3-4-5;PRESENT
KBBPvK.rtbw;3-4-5;3-4-5;PRESENT
KBBvKB.rtbw;3-4-5;3-4-5;PRESENT
KBBvKN.rtbw;3-4-5;3-4-5;PRESENT
KBBvKP.rtbw;3-4-5;3-4-5;PRESENT
KBBvKQ.rtbw;3-4-5;3-4-5;PRESENT
KBBvKR.rtbw;3-4-5;3-4-5;PRESENT
KBBvK.rtbw;3-4-5;3-4-5;PRESENT
KBNNvK.rtbw;3-4-5;3-4-5;PRESENT
KBNPvK.rtbw;3-4-5;3-4-5;PRESENT
KBNvKB.rtbw;3-4-5;3-4-5;PRESENT
KBNvKN.rtbw;3-4-5;3-4-5;PRESENT
KBNvKP.rtbw;3-4-5;3-4-5;PRESENT
KBNvKQ.rtbw;3-4-5;3-4-5;PRESENT
KBNvKR.rtbw;3-4-5;3-4-5;PRESENT
KBNvK.rtbw;3-4-5;3-4-5;PRESENT
KBPPvK.rtbw;3-4-5;3-4-5;PRESENT
KBPvKB.rtbw;3-4-5;3-4-5;PRESENT
KBPvKN.rtbw;3-4-5;3-4-5;PRESENT
KBPvKP.rtbw;3-4-5;3-4-5;PRESENT
KBPvKQ.rtbw;3-4-5;3-4-5;PRESENT
KBPvKR.rtbw;3-4-5;3-4-5;PRESENT
KBPvK.rtbw;3-4-5;3-4-5;PRESENT
KBvKB.rtbw;3-4-5;3-4-5;PRESENT
KBvKN.rtbw;3-4-5;3-4-5;PRESENT
KBvKP.rtbw;3-4-5;3-4-5;PRESENT
KBvK.rtbw;3-4-5;3-4-5;PRESENT
KNNNvK.rtbw;3-4-5;3-4-5;PRESENT
KNNPvK.rtbw;3-4-5;3-4-5;PRESENT
KNNvKB.rtbw;3-4-5;3-4-5;PRESENT
KNNvKN.rtbw;3-4-5;3-4-5;PRESENT
KNNvKP.rtbw;3-4-5;3-4-5;PRESENT
KNNvKQ.rtbw;3-4-5;3-4-5;PRESENT
KNNvKR.rtbw;3-4-5;3-4-5;PRESENT
KNNvK.rtbw;3-4-5;3-4-5;PRESENT
KNPPvK.rtbw;3-4-5;3-4-5;PRESENT
KNPvKB.rtbw;3-4-5;3-4-5;PRESENT
KNPvKN.rtbw;3-4-5;3-4-5;PRESENT
KNPvKP.rtbw;3-4-5;3-4-5;PRESENT
KNPvKQ.rtbw;3-4-5;3-4-5;PRESENT
KNPvKR.rtbw;3-4-5;3-4-5;PRESENT
KNPvK.rtbw;3-4-5;3-4-5;PRESENT
KNvKN.rtbw;3-4-5;3-4-5;PRESENT
KNvKP.rtbw;3-4-5;3-4-5;PRESENT
KNvK.rtbw;3-4-5;3-4-5;PRESENT
KPPPvK.rtbw;3-4-5;3-4-5;PRESENT
KPPvKB.rtbw;3-4-5;3-4-5;PRESENT
KPPvKN.rtbw;3-4-5;3-4-5;PRESENT
KPPvKP.rtbw;3-4-5;3-4-5;PRESENT
KPPvKQ.rtbw;3-4-5;3-4-5;PRESENT
KPPvKR.rtbw;3-4-5;3-4-5;PRESENT
KPPvK.rtbw;3-4-5;3-4-5;PRESENT
KPvKP.rtbw;3-4-5;3-4-5;PRESENT
KPvK.rtbw;3-4-5;3-4-5;PRESENT
